[WARN] [1790212131.854826771] [sage_target_localizer]: attitude_source=gz_truth (SITL ground truth, not the PX4 estimate).
[INFO] [1790212131.859329089] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790212131.860488263] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790212131.860998671] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790212131.861551880] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790212131.862008132] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790212138.363267333] [sage_target_localizer]: Person 3D | pixel=(397.9,770.0) | position=(-0.23,3.87,0.00) | range=3.68 m
[INFO] [1790212138.464439467] [sage_target_localizer]: Person 3D | pixel=(397.9,770.0) | position=(-0.23,3.87,0.00) | range=3.68 m
[INFO] [1790212138.561562060] [sage_target_localizer]: Person 3D | pixel=(397.9,770.0) | position=(-0.23,3.87,0.00) | range=3.68 m
[INFO] [1790212138.666038369] [sage_target_localizer]: Person 3D | pixel=(397.9,770.0) | position=(-0.23,3.87,0.00) | range=3.68 m
[INFO] [1790212138.759785040] [sage_target_localizer]: Person 3D | pixel=(397.9,770.0) | position=(-0.23,3.87,0.00) | range=3.68 m
[INFO] [1790212138.863202038] [sage_target_localizer]: Person 3D | pixel=(397.9,770.0) | position=(-0.23,3.87,0.00) | range=3.68 m
[INFO] [1790212138.965618288] [sage_target_localizer]: Person 3D | pixel=(397.9,770.0) | position=(-0.23,3.87,0.00) | range=3.68 m
[INFO] [1790212139.060952170] [sage_target_localizer]: Person 3D | pixel=(397.9,770.0) | position=(-0.23,3.87,0.00) | range=3.68 m
[INFO] [1790212139.171215813] [sage_target_localizer]: Person 3D | pixel=(397.9,770.0) | position=(-0.23,3.87,0.00) | range=3.68 m
[INFO] [1790212139.265895194] [sage_target_localizer]: Person 3D | pixel=(397.9,770.0) | position=(-0.23,3.87,0.00) | range=3.68 m
[INFO] [1790212139.359895084] [sage_target_localizer]: Person 3D | pixel=(397.9,770.0) | position=(-0.23,3.87,0.00) | range=3.68 m
[INFO] [1790212139.459819508] [sage_target_localizer]: Person 3D | pixel=(439.9,664.7) | position=(-0.11,4.31,0.00) | range=4.16 m
[INFO] [1790212139.562244152] [sage_target_localizer]: Person 3D | pixel=(439.9,664.7) | position=(-0.11,4.31,0.00) | range=4.16 m
[INFO] [1790212139.666652260] [sage_target_localizer]: Person 3D | pixel=(439.6,664.3) | position=(-0.13,4.24,0.00) | range=4.11 m
[INFO] [1790212139.760952030] [sage_target_localizer]: Person 3D | pixel=(439.6,664.3) | position=(-0.13,4.24,0.00) | range=4.11 m
[INFO] [1790212139.860819699] [sage_target_localizer]: Person 3D | pixel=(436.1,654.8) | position=(-0.13,4.39,0.00) | range=4.28 m
[INFO] [1790212139.968030991] [sage_target_localizer]: Person 3D | pixel=(436.1,654.8) | position=(-0.13,4.39,0.00) | range=4.28 m
[INFO] [1790212140.063045780] [sage_target_localizer]: Person 3D | pixel=(436.1,654.8) | position=(-0.13,4.39,0.00) | range=4.28 m
[INFO] [1790212140.161857862] [sage_target_localizer]: Person 3D | pixel=(434.1,651.9) | position=(-0.14,4.35,0.00) | range=4.25 m
[INFO] [1790212140.269318514] [sage_target_localizer]: Person 3D | pixel=(434.1,651.9) | position=(-0.14,4.35,0.00) | range=4.25 m
[INFO] [1790212140.359881999] [sage_target_localizer]: Person 3D | pixel=(434.1,651.9) | position=(-0.14,4.35,0.00) | range=4.25 m
