[WARN] [1790213547.263788834] [sage_target_localizer]: attitude_source=gz_truth (SITL ground truth, not the PX4 estimate).
[INFO] [1790213547.267734063] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790213547.268501874] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790213547.269309454] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790213547.270141883] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790213547.271058436] [sage_target_localizer]: Waiting for camera/PX4 data...
[WARN] [1790213556.073875488] [sage_target_localizer]: 3D localization skipped: UAV tilt 8.3 deg > 8.0
[INFO] [1790213556.968482524] [sage_target_localizer]: Person 3D | pixel=(548.3,706.1) | position=(-0.32,4.43,0.00) | range=3.75 m
[INFO] [1790213557.070111465] [sage_target_localizer]: Person 3D | pixel=(548.3,706.1) | position=(-0.32,4.43,0.00) | range=3.75 m
[INFO] [1790213557.176026717] [sage_target_localizer]: Person 3D | pixel=(556.3,666.0) | position=(-0.17,4.31,0.00) | range=3.94 m
[INFO] [1790213557.278928704] [sage_target_localizer]: Person 3D | pixel=(556.3,666.0) | position=(-0.17,4.31,0.00) | range=3.94 m
[INFO] [1790213557.371678358] [sage_target_localizer]: Person 3D | pixel=(556.3,666.0) | position=(-0.17,4.31,0.00) | range=3.94 m
[INFO] [1790213557.481152668] [sage_target_localizer]: Person 3D | pixel=(552.9,633.2) | position=(-0.22,4.58,0.00) | range=4.39 m
[INFO] [1790213557.576528545] [sage_target_localizer]: Person 3D | pixel=(552.9,633.2) | position=(-0.22,4.58,0.00) | range=4.39 m
[INFO] [1790213557.672186690] [sage_target_localizer]: Person 3D | pixel=(552.9,633.2) | position=(-0.22,4.58,0.00) | range=4.39 m
[INFO] [1790213557.777801310] [sage_target_localizer]: Person 3D | pixel=(545.0,608.7) | position=(-0.23,4.73,0.00) | range=4.72 m
[INFO] [1790213557.869731982] [sage_target_localizer]: Person 3D | pixel=(545.0,608.7) | position=(-0.23,4.73,0.00) | range=4.72 m
[INFO] [1790213557.970397281] [sage_target_localizer]: Person 3D | pixel=(545.0,608.7) | position=(-0.23,4.73,0.00) | range=4.72 m
[INFO] [1790213558.068924653] [sage_target_localizer]: Person 3D | pixel=(532.9,584.1) | position=(-0.30,5.06,0.00) | range=5.24 m
[INFO] [1790213558.168563813] [sage_target_localizer]: Person 3D | pixel=(532.9,584.1) | position=(-0.30,5.06,0.00) | range=5.24 m
[INFO] [1790213558.268542039] [sage_target_localizer]: Person 3D | pixel=(517.9,570.7) | position=(-0.24,4.97,0.00) | range=5.32 m
[INFO] [1790213558.371423584] [sage_target_localizer]: Person 3D | pixel=(517.9,570.7) | position=(-0.24,4.97,0.00) | range=5.32 m
[INFO] [1790213558.472141713] [sage_target_localizer]: Person 3D | pixel=(503.8,556.8) | position=(-0.27,5.13,0.00) | range=5.62 m
[INFO] [1790213558.570132927] [sage_target_localizer]: Person 3D | pixel=(503.8,556.8) | position=(-0.27,5.13,0.00) | range=5.62 m
[INFO] [1790213558.668277839] [sage_target_localizer]: Person 3D | pixel=(483.7,547.0) | position=(-0.21,5.12,0.00) | range=5.73 m
[INFO] [1790213558.769481460] [sage_target_localizer]: Person 3D | pixel=(483.7,547.0) | position=(-0.21,5.12,0.00) | range=5.73 m
[INFO] [1790213558.875465333] [sage_target_localizer]: Person 3D | pixel=(483.7,547.0) | position=(-0.21,5.12,0.00) | range=5.73 m
[INFO] [1790213558.976017363] [sage_target_localizer]: Person 3D | pixel=(467.4,546.3) | position=(-0.13,4.79,0.00) | range=5.49 m
[INFO] [1790213559.068570544] [sage_target_localizer]: Person 3D | pixel=(467.4,546.3) | position=(-0.13,4.79,0.00) | range=5.49 m
[INFO] [1790213559.169577733] [sage_target_localizer]: Person 3D | pixel=(445.7,534.9) | position=(-0.16,4.85,0.00) | range=5.66 m
[INFO] [1790213559.269856960] [sage_target_localizer]: Person 3D | pixel=(445.7,534.9) | position=(-0.16,4.85,0.00) | range=5.66 m
[INFO] [1790213559.368566160] [sage_target_localizer]: Person 3D | pixel=(445.7,534.9) | position=(-0.16,4.85,0.00) | range=5.66 m
[INFO] [1790213559.468561434] [sage_target_localizer]: Person 3D | pixel=(422.9,529.0) | position=(-0.14,4.87,0.00) | range=5.74 m
[INFO] [1790213559.575828146] [sage_target_localizer]: Person 3D | pixel=(422.9,529.0) | position=(-0.14,4.87,0.00) | range=5.74 m
[INFO] [1790213559.669956798] [sage_target_localizer]: Person 3D | pixel=(728.0,471.1) | position=(-7.20,8.52,0.00) | range=12.11 m
[INFO] [1790213559.775309427] [sage_target_localizer]: Person 3D | pixel=(728.0,471.1) | position=(-7.20,8.52,0.00) | range=12.11 m
[INFO] [1790213559.874711505] [sage_target_localizer]: Person 3D | pixel=(723.6,476.8) | position=(-7.08,8.26,0.00) | range=11.74 m
[INFO] [1790213559.968580383] [sage_target_localizer]: Person 3D | pixel=(723.6,476.8) | position=(-7.08,8.26,0.00) | range=11.74 m
[INFO] [1790213560.075724070] [sage_target_localizer]: Person 3D | pixel=(723.6,476.8) | position=(-7.08,8.26,0.00) | range=11.74 m
[INFO] [1790213560.173261321] [sage_target_localizer]: Person 3D | pixel=(349.6,515.5) | position=(-0.10,5.06,0.00) | range=5.95 m
[INFO] [1790213560.268460018] [sage_target_localizer]: Person 3D | pixel=(349.6,515.5) | position=(-0.10,5.06,0.00) | range=5.95 m
[INFO] [1790213560.369358706] [sage_target_localizer]: Person 3D | pixel=(349.6,515.5) | position=(-0.10,5.06,0.00) | range=5.95 m
[INFO] [1790213560.470494545] [sage_target_localizer]: Person 3D | pixel=(318.7,517.4) | position=(-0.04,4.96,0.00) | range=5.79 m
[INFO] [1790213560.574608453] [sage_target_localizer]: Person 3D | pixel=(318.7,517.4) | position=(-0.04,4.96,0.00) | range=5.79 m
[INFO] [1790213560.669313686] [sage_target_localizer]: Person 3D | pixel=(318.7,517.4) | position=(-0.04,4.96,0.00) | range=5.79 m
[INFO] [1790213560.771585360] [sage_target_localizer]: Person 3D | pixel=(291.6,522.4) | position=(-0.05,4.80,0.00) | range=5.54 m
[INFO] [1790213560.869352965] [sage_target_localizer]: Person 3D | pixel=(263.3,530.0) | position=(-0.06,4.81,0.00) | range=5.41 m
[INFO] [1790213560.969149380] [sage_target_localizer]: Person 3D | pixel=(263.3,530.0) | position=(-0.06,4.81,0.00) | range=5.41 m
[INFO] [1790213561.068628439] [sage_target_localizer]: Person 3D | pixel=(244.5,540.6) | position=(-0.08,4.64,0.00) | range=5.12 m
[INFO] [1790213561.169792772] [sage_target_localizer]: Person 3D | pixel=(244.5,540.6) | position=(-0.08,4.64,0.00) | range=5.12 m
[INFO] [1790213561.269693843] [sage_target_localizer]: Person 3D | pixel=(233.1,548.9) | position=(-0.09,4.52,0.00) | range=4.92 m
[INFO] [1790213561.368588766] [sage_target_localizer]: Person 3D | pixel=(233.1,548.9) | position=(-0.09,4.52,0.00) | range=4.92 m
