[INFO] [1790221260.296674967] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790221260.298289774] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790221260.299742013] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790221260.302700345] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790221260.303528724] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790221260.306724262] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790221260.307811109] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790221269.569042940] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.28, 5.07, 0.00) | state=STATIONARY
[INFO] [1790221269.672179531] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.28, 5.07, 0.00) | smoothed=(-0.28, 5.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790221269.771471493] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.28, 5.07, 0.00) | smoothed=(-0.28, 5.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790221269.868848399] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.28, 5.07, 0.00) | smoothed=(-0.28, 5.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790221269.970064065] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.28, 5.07, 0.00) | smoothed=(-0.28, 5.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790221270.072228909] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.28, 5.07, 0.00) | smoothed=(-0.28, 5.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790221270.168460564] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.28, 5.07, 0.00) | smoothed=(-0.28, 5.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790221270.268651333] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.28, 5.07, 0.00) | smoothed=(-0.28, 5.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790221270.370454750] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.28, 5.07, 0.00) | smoothed=(-0.28, 5.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790221270.470521693] [sage_semantic_world_model]: NEW TARGET | id=2 | class=person | position=(-8.30, 9.56, 0.00) | state=STATIONARY
[INFO] [1790221270.571482469] [sage_semantic_world_model]: Target 2 updated | association_distance=0.00 m | raw=(-8.30, 9.56, 0.00) | smoothed=(-8.30, 9.56, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790221270.674145484] [sage_semantic_world_model]: Target 2 updated | association_distance=0.00 m | raw=(-8.30, 9.56, 0.00) | smoothed=(-8.30, 9.56, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790221270.775580013] [sage_semantic_world_model]: Target 2 updated | association_distance=0.08 m | raw=(-8.35, 9.62, 0.00) | smoothed=(-8.31, 9.58, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790221270.869337965] [sage_semantic_world_model]: Target 2 updated | association_distance=0.06 m | raw=(-8.35, 9.62, 0.00) | smoothed=(-8.32, 9.59, 0.00) | velocity=(-0.05, 0.07, 0.00) m/s | speed=0.08 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790221270.969913654] [sage_semantic_world_model]: Target 2 updated | association_distance=0.04 m | raw=(-8.35, 9.62, 0.00) | smoothed=(-8.33, 9.60, 0.00) | velocity=(-0.07, 0.09, 0.00) m/s | speed=0.11 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790221271.072571813] [sage_semantic_world_model]: Target 2 updated | association_distance=0.13 m | raw=(-8.43, 9.67, 0.00) | smoothed=(-8.35, 9.62, 0.00) | velocity=(-0.13, 0.13, 0.00) m/s | speed=0.19 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
