[INFO] [1790222737.569837449] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790222737.571373001] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790222740.415314456] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790222741.415635054] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790222742.419505139] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790222743.417102883] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790222744.416462019] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790222745.417736726] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.071 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.9 %
[INFO] [1790222746.417492438] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.17 V | drain_rate=0.070 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.9 %
[INFO] [1790222747.415084559] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.069 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.8 %
[INFO] [1790222748.414422147] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.068 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.8 %
[INFO] [1790222749.416438167] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.067 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.7 %
[INFO] [1790222750.418431417] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.066 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.6 %
[INFO] [1790222751.418210276] [sage_energy_monitor]: ENERGY | remaining=97.8 % | voltage=16.16 V | drain_rate=0.066 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.6 %
