[INFO] [1790290127.481929474] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790290127.482974010] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790290127.483665479] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790290127.484347125] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790290127.485048798] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790290135.957806925] [sage_target_localizer]: Person 3D | pixel=(1080.8,580.7) | position=(-6.07,7.39,0.00) | range=9.45 m
[INFO] [1790290136.059983824] [sage_target_localizer]: Person 3D | pixel=(1080.8,580.7) | position=(-6.07,7.39,0.00) | range=9.45 m
[INFO] [1790290136.159065820] [sage_target_localizer]: Person 3D | pixel=(1080.8,580.7) | position=(-6.07,7.39,0.00) | range=9.45 m
[INFO] [1790290136.257414009] [sage_target_localizer]: Person 3D | pixel=(1080.8,580.7) | position=(-6.07,7.39,0.00) | range=9.45 m
[INFO] [1790290136.359010674] [sage_target_localizer]: Person 3D | pixel=(1080.8,580.7) | position=(-6.07,7.39,0.00) | range=9.45 m
[INFO] [1790290136.459034968] [sage_target_localizer]: Person 3D | pixel=(1080.8,580.7) | position=(-6.07,7.39,0.00) | range=9.45 m
[INFO] [1790290136.560619848] [sage_target_localizer]: Person 3D | pixel=(1080.8,580.7) | position=(-6.07,7.39,0.00) | range=9.45 m
[INFO] [1790290136.658777925] [sage_target_localizer]: Person 3D | pixel=(1080.8,580.7) | position=(-6.07,7.39,0.00) | range=9.45 m
[INFO] [1790290136.763345949] [sage_target_localizer]: Person 3D | pixel=(1080.8,580.7) | position=(-6.07,7.39,0.00) | range=9.45 m
[INFO] [1790290136.857849893] [sage_target_localizer]: Person 3D | pixel=(1080.8,580.7) | position=(-6.07,7.39,0.00) | range=9.45 m
[INFO] [1790290136.961406686] [sage_target_localizer]: Person 3D | pixel=(1080.8,580.7) | position=(-6.07,7.39,0.00) | range=9.45 m
[INFO] [1790290137.062154826] [sage_target_localizer]: Person 3D | pixel=(731.7,684.5) | position=(-0.79,4.58,0.00) | range=4.49 m
[INFO] [1790290137.157999071] [sage_target_localizer]: Person 3D | pixel=(731.7,684.5) | position=(-0.79,4.58,0.00) | range=4.49 m
[INFO] [1790290137.267469315] [sage_target_localizer]: Person 3D | pixel=(1006.6,578.1) | position=(-5.78,8.53,0.00) | range=10.16 m
[INFO] [1790290137.360477441] [sage_target_localizer]: Person 3D | pixel=(1006.6,578.1) | position=(-5.78,8.53,0.00) | range=10.16 m
[INFO] [1790290137.462660394] [sage_target_localizer]: Person 3D | pixel=(729.1,687.6) | position=(-0.77,4.54,0.00) | range=4.45 m
[INFO] [1790290137.557376417] [sage_target_localizer]: Person 3D | pixel=(729.1,687.6) | position=(-0.77,4.54,0.00) | range=4.45 m
[INFO] [1790290137.657095604] [sage_target_localizer]: Person 3D | pixel=(728.2,689.6) | position=(-0.76,4.51,0.00) | range=4.42 m
[INFO] [1790290137.757500851] [sage_target_localizer]: Person 3D | pixel=(728.2,689.6) | position=(-0.76,4.51,0.00) | range=4.42 m
[INFO] [1790290137.860163064] [sage_target_localizer]: Person 3D | pixel=(727.5,691.8) | position=(-0.74,4.47,0.00) | range=4.38 m
[INFO] [1790290137.958449404] [sage_target_localizer]: Person 3D | pixel=(727.5,691.8) | position=(-0.74,4.47,0.00) | range=4.38 m
