[INFO] [1790296040.869854559] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790296040.870654891] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790296040.871488582] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790296040.872419557] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790296040.873262542] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790296047.442693195] [sage_target_localizer]: Person 3D | pixel=(281.8,705.4) | position=(2.94,4.54,0.00) | range=5.36 m
[INFO] [1790296047.541813425] [sage_target_localizer]: Person 3D | pixel=(281.8,705.4) | position=(2.94,4.54,0.00) | range=5.36 m
[INFO] [1790296047.642736836] [sage_target_localizer]: Person 3D | pixel=(281.8,705.4) | position=(2.94,4.54,0.00) | range=5.36 m
[INFO] [1790296047.750996305] [sage_target_localizer]: Person 3D | pixel=(281.8,705.4) | position=(2.94,4.54,0.00) | range=5.36 m
[INFO] [1790296047.842657333] [sage_target_localizer]: Person 3D | pixel=(281.8,705.4) | position=(2.94,4.54,0.00) | range=5.36 m
[INFO] [1790296047.944440259] [sage_target_localizer]: Person 3D | pixel=(281.8,705.4) | position=(2.94,4.54,0.00) | range=5.36 m
[INFO] [1790296048.046150790] [sage_target_localizer]: Person 3D | pixel=(281.8,705.4) | position=(2.94,4.54,0.00) | range=5.36 m
[INFO] [1790296048.144006091] [sage_target_localizer]: Person 3D | pixel=(281.8,705.4) | position=(2.94,4.54,0.00) | range=5.36 m
[INFO] [1790296048.250647879] [sage_target_localizer]: Person 3D | pixel=(281.8,705.4) | position=(2.94,4.54,0.00) | range=5.36 m
[INFO] [1790296048.343617124] [sage_target_localizer]: Person 3D | pixel=(281.8,705.4) | position=(2.94,4.54,0.00) | range=5.36 m
[INFO] [1790296048.442466613] [sage_target_localizer]: Person 3D | pixel=(281.8,705.4) | position=(2.94,4.54,0.00) | range=5.36 m
[INFO] [1790296048.542472795] [sage_target_localizer]: Person 3D | pixel=(182.2,675.5) | position=(4.09,4.88,0.00) | range=6.29 m
[INFO] [1790296048.644304153] [sage_target_localizer]: Person 3D | pixel=(182.2,675.5) | position=(4.09,4.88,0.00) | range=6.29 m
[INFO] [1790296048.745704088] [sage_target_localizer]: Person 3D | pixel=(177.9,675.4) | position=(4.14,4.87,0.00) | range=6.32 m
[INFO] [1790296048.842537865] [sage_target_localizer]: Person 3D | pixel=(177.9,675.4) | position=(4.14,4.87,0.00) | range=6.32 m
[INFO] [1790296048.950331702] [sage_target_localizer]: Person 3D | pixel=(175.1,677.0) | position=(4.02,4.73,0.00) | range=6.15 m
[INFO] [1790296049.042277812] [sage_target_localizer]: Person 3D | pixel=(175.1,677.0) | position=(4.02,4.73,0.00) | range=6.15 m
[INFO] [1790296049.152185692] [sage_target_localizer]: Person 3D | pixel=(156.0,677.8) | position=(4.25,4.78,0.00) | range=6.34 m
[INFO] [1790296049.243563637] [sage_target_localizer]: Person 3D | pixel=(156.0,677.8) | position=(4.25,4.78,0.00) | range=6.34 m
[INFO] [1790296049.342116601] [sage_target_localizer]: Person 3D | pixel=(156.0,677.8) | position=(4.25,4.78,0.00) | range=6.34 m
