[INFO] [1790301484.330497725] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790301484.331470779] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790301484.332447188] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790301484.333352515] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790301484.334166134] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790301484.334941319] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790301484.335670969] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790301493.454329481] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(1.73, 3.84, 0.00) | state=STATIONARY
[INFO] [1790301493.545536770] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(1.73, 3.84, 0.00) | smoothed=(1.73, 3.84, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790301493.647805124] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(1.73, 3.84, 0.00) | smoothed=(1.73, 3.84, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790301493.750222163] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(1.73, 3.84, 0.00) | smoothed=(1.73, 3.84, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790301493.846817343] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(1.73, 3.84, 0.00) | smoothed=(1.73, 3.84, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790301493.951173994] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(1.73, 3.84, 0.00) | smoothed=(1.73, 3.84, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790301494.060024640] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(1.73, 3.84, 0.00) | smoothed=(1.73, 3.84, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790301494.149813855] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(1.73, 3.84, 0.00) | smoothed=(1.73, 3.84, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790301494.248478300] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(1.73, 3.84, 0.00) | smoothed=(1.73, 3.84, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790301494.343838595] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(1.73, 3.84, 0.00) | smoothed=(1.73, 3.84, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790301494.447899624] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(1.73, 3.84, 0.00) | smoothed=(1.73, 3.84, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790301494.546781308] [sage_semantic_world_model]: NEW TARGET | id=2 | class=person | position=(1.38, 6.47, 0.00) | state=STATIONARY
[INFO] [1790301494.651450479] [sage_semantic_world_model]: Target 2 updated | association_distance=0.00 m | raw=(1.38, 6.47, 0.00) | smoothed=(1.38, 6.47, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790301494.747614562] [sage_semantic_world_model]: Target 1 updated | association_distance=1.14 m | raw=(2.86, 3.88, 0.00) | smoothed=(2.01, 3.85, 0.00) | velocity=(0.47, 0.02, 0.00) m/s | speed=0.47 m/s | net=0.28 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=12
[INFO] [1790301494.852637230] [sage_semantic_world_model]: Target 1 updated | association_distance=0.85 m | raw=(2.86, 3.88, 0.00) | smoothed=(2.22, 3.86, 0.00) | velocity=(0.83, 0.03, 0.00) m/s | speed=0.83 m/s | net=0.50 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=13
[INFO] [1790301494.947009078] [sage_semantic_world_model]: Target 1 updated | association_distance=0.64 m | raw=(2.86, 3.88, 0.00) | smoothed=(2.38, 3.87, 0.00) | velocity=(1.09, 0.04, 0.00) m/s | speed=1.09 m/s | net=0.66 m | straightness=1.00 | direction=1.00 | state=STATIONARY | detections=14
[INFO] [1790301495.055731576] [sage_semantic_world_model]: Target 1 updated | association_distance=0.36 m | raw=(2.55, 3.55, 0.00) | smoothed=(2.42, 3.79, 0.00) | velocity=(1.16, -0.09, 0.00) m/s | speed=1.16 m/s | net=0.70 m | straightness=0.94 | direction=1.00 | state=STATIONARY | detections=15
[INFO] [1790301495.146536322] [sage_semantic_world_model]: Target 1 confirmed MOVING | net=0.74 m | avg_speed=0.67 m/s | straightness=0.91 | direction=1.00
[INFO] [1790301495.149388898] [sage_semantic_world_model]: Target 1 updated | association_distance=0.27 m | raw=(2.55, 3.55, 0.00) | smoothed=(2.46, 3.73, 0.00) | velocity=(1.12, -0.32, 0.00) m/s | speed=1.16 m/s | net=0.74 m | straightness=0.91 | direction=1.00 | state=MOVING | detections=16
[INFO] [1790301495.248252535] [sage_semantic_world_model]: Target 1 updated | association_distance=0.20 m | raw=(2.55, 3.55, 0.00) | smoothed=(2.48, 3.68, 0.00) | velocity=(0.65, -0.45, 0.00) m/s | speed=0.78 m/s | net=0.77 m | straightness=0.89 | direction=1.00 | state=MOVING | detections=17
[INFO] [1790301495.353957314] [sage_semantic_world_model]: Target 1 updated | association_distance=0.59 m | raw=(3.00, 3.98, 0.00) | smoothed=(2.61, 3.76, 0.00) | velocity=(0.57, -0.28, 0.00) m/s | speed=0.63 m/s | net=0.89 m | straightness=0.88 | direction=1.00 | state=MOVING | detections=18
[INFO] [1790301495.444861007] [sage_semantic_world_model]: Target 1 updated | association_distance=0.45 m | raw=(3.00, 3.98, 0.00) | smoothed=(2.71, 3.81, 0.00) | velocity=(0.71, 0.06, 0.00) m/s | speed=0.71 m/s | net=0.98 m | straightness=0.87 | direction=0.62 | state=MOVING | detections=19
[INFO] [1790301495.548055696] [sage_semantic_world_model]: Target 1 updated | association_distance=0.24 m | raw=(2.94, 3.80, 0.00) | smoothed=(2.77, 3.81, 0.00) | velocity=(0.77, 0.20, 0.00) m/s | speed=0.80 m/s | net=1.04 m | straightness=0.88 | direction=1.00 | state=MOVING | detections=20
[INFO] [1790301495.652694420] [sage_semantic_world_model]: Target 1 updated | association_distance=0.18 m | raw=(2.94, 3.80, 0.00) | smoothed=(2.81, 3.81, 0.00) | velocity=(0.83, 0.31, 0.00) m/s | speed=0.88 m/s | net=0.80 m | straightness=0.85 | direction=1.00 | state=MOVING | detections=21
[INFO] [1790301495.746902031] [sage_semantic_world_model]: Target 1 updated | association_distance=0.13 m | raw=(2.94, 3.80, 0.00) | smoothed=(2.84, 3.80, 0.00) | velocity=(0.59, 0.12, 0.00) m/s | speed=0.60 m/s | net=0.62 m | straightness=0.81 | direction=1.00 | state=MOVING | detections=22
[INFO] [1790301495.847530218] [sage_semantic_world_model]: Target 1 updated | association_distance=0.20 m | raw=(3.03, 3.86, 0.00) | smoothed=(2.89, 3.82, 0.00) | velocity=(0.46, 0.02, 0.00) m/s | speed=0.46 m/s | net=0.51 m | straightness=0.78 | direction=1.00 | state=MOVING | detections=23
[INFO] [1790301495.944962740] [sage_semantic_world_model]: Target 1 updated | association_distance=0.15 m | raw=(3.03, 3.86, 0.00) | smoothed=(2.93, 3.83, 0.00) | velocity=(0.40, 0.05, 0.00) m/s | speed=0.41 m/s | net=0.50 m | straightness=0.84 | direction=0.78 | state=MOVING | detections=24
[INFO] [1790301496.053434219] [sage_semantic_world_model]: Target 1 updated | association_distance=0.15 m | raw=(2.93, 3.68, 0.00) | smoothed=(2.93, 3.79, 0.00) | velocity=(0.29, -0.04, 0.00) m/s | speed=0.30 m/s | net=0.48 m | straightness=0.83 | direction=0.00 | state=MOVING | detections=25
[INFO] [1790301496.145471759] [sage_semantic_world_model]: Target 1 updated | association_distance=0.11 m | raw=(2.93, 3.68, 0.00) | smoothed=(2.93, 3.76, 0.00) | velocity=(0.21, -0.10, 0.00) m/s | speed=0.24 m/s | net=0.46 m | straightness=0.83 | direction=0.00 | state=MOVING | detections=26
[INFO] [1790301496.245467589] [sage_semantic_world_model]: Target 1 updated | association_distance=0.09 m | raw=(2.93, 3.68, 0.00) | smoothed=(2.93, 3.74, 0.00) | velocity=(0.10, -0.19, 0.00) m/s | speed=0.22 m/s | net=0.32 m | straightness=0.76 | direction=0.00 | state=MOVING | detections=27
[INFO] [1790301496.355524304] [sage_semantic_world_model]: Target 1 updated | association_distance=0.08 m | raw=(2.96, 3.67, 0.00) | smoothed=(2.94, 3.72, 0.00) | velocity=(0.03, -0.26, 0.00) m/s | speed=0.26 m/s | net=0.25 m | straightness=0.75 | direction=0.00 | state=MOVING | detections=28
[INFO] [1790301496.445436919] [sage_semantic_world_model]: Target 1 updated | association_distance=0.06 m | raw=(2.96, 3.67, 0.00) | smoothed=(2.94, 3.71, 0.00) | velocity=(0.03, -0.21, 0.00) m/s | speed=0.21 m/s | net=0.20 m | straightness=0.71 | direction=0.00 | state=MOVING | detections=29
[INFO] [1790301496.554371303] [sage_semantic_world_model]: Target 1 updated | association_distance=0.22 m | raw=(3.14, 3.81, 0.00) | smoothed=(2.99, 3.73, 0.00) | velocity=(0.15, -0.07, 0.00) m/s | speed=0.17 m/s | net=0.19 m | straightness=0.65 | direction=0.00 | state=MOVING | detections=30
[INFO] [1790301496.648213064] [sage_semantic_world_model]: Target 1 updated | association_distance=0.17 m | raw=(3.14, 3.81, 0.00) | smoothed=(3.03, 3.75, 0.00) | velocity=(0.25, 0.03, 0.00) m/s | speed=0.25 m/s | net=0.19 m | straightness=0.62 | direction=0.00 | state=MOVING | detections=31
[INFO] [1790301496.743627392] [sage_semantic_world_model]: Target 1 updated | association_distance=0.07 m | raw=(3.09, 3.72, 0.00) | smoothed=(3.04, 3.75, 0.00) | velocity=(0.27, 0.06, 0.00) m/s | speed=0.28 m/s | net=0.17 m | straightness=0.62 | direction=0.00 | state=MOVING | detections=32
[INFO] [1790301496.844144731] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(3.09, 3.72, 0.00) | smoothed=(3.06, 3.74, 0.00) | velocity=(0.29, 0.08, 0.00) m/s | speed=0.30 m/s | net=0.16 m | straightness=0.63 | direction=0.00 | state=MOVING | detections=33
[INFO] [1790301496.948084170] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.09, 3.72, 0.00) | smoothed=(3.07, 3.74, 0.00) | velocity=(0.19, 0.01, 0.00) m/s | speed=0.19 m/s | net=0.15 m | straightness=0.66 | direction=0.00 | state=MOVING | detections=34
[INFO] [1790301497.046285416] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(3.09, 3.69, 0.00) | smoothed=(3.07, 3.72, 0.00) | velocity=(0.11, -0.08, 0.00) m/s | speed=0.13 m/s | net=0.15 m | straightness=0.71 | direction=0.00 | state=MOVING | detections=35
[INFO] [1790301497.148800121] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.09, 3.69, 0.00) | smoothed=(3.08, 3.71, 0.00) | velocity=(0.08, -0.08, 0.00) m/s | speed=0.11 m/s | net=0.15 m | straightness=0.75 | direction=0.00 | state=MOVING | detections=36
[INFO] [1790301497.255710409] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(3.12, 3.68, 0.00) | smoothed=(3.09, 3.71, 0.00) | velocity=(0.07, -0.08, 0.00) m/s | speed=0.11 m/s | net=0.15 m | straightness=0.79 | direction=0.00 | state=MOVING | detections=37
[INFO] [1790301497.345885067] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.12, 3.68, 0.00) | smoothed=(3.09, 3.70, 0.00) | velocity=(0.07, -0.09, 0.00) m/s | speed=0.11 m/s | net=0.15 m | straightness=0.82 | direction=0.00 | state=MOVING | detections=38
[INFO] [1790301497.445683697] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.12, 3.68, 0.00) | smoothed=(3.10, 3.70, 0.00) | velocity=(0.07, -0.07, 0.00) m/s | speed=0.10 m/s | net=0.12 m | straightness=0.83 | direction=0.00 | state=MOVING | detections=39
[INFO] [1790301497.548096597] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(3.12, 3.68, 0.00) | smoothed=(3.10, 3.69, 0.00) | velocity=(0.07, -0.06, 0.00) m/s | speed=0.09 m/s | net=0.10 m | straightness=0.96 | direction=0.00 | state=MOVING | detections=40
[INFO] [1790301497.643338444] [sage_semantic_world_model]: Target 1 confirmed STATIONARY | net=0.09 m | avg_speed=0.10 m/s
[INFO] [1790301497.645377910] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(3.15, 3.67, 0.00) | smoothed=(3.12, 3.69, 0.00) | velocity=(0.07, -0.06, 0.00) m/s | speed=0.09 m/s | net=0.09 m | straightness=0.96 | direction=0.00 | state=STATIONARY | detections=41
[INFO] [1790301497.753011936] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.15, 3.67, 0.00) | smoothed=(3.12, 3.68, 0.00) | velocity=(0.07, -0.05, 0.00) m/s | speed=0.09 m/s | net=0.09 m | straightness=0.96 | direction=0.00 | state=STATIONARY | detections=42
[INFO] [1790301497.854647197] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(3.15, 3.67, 0.00) | smoothed=(3.13, 3.68, 0.00) | velocity=(0.07, -0.04, 0.00) m/s | speed=0.08 m/s | net=0.09 m | straightness=0.96 | direction=0.00 | state=STATIONARY | detections=43
[INFO] [1790301497.945000917] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.15, 3.65, 0.00) | smoothed=(3.13, 3.67, 0.00) | velocity=(0.08, -0.05, 0.00) m/s | speed=0.09 m/s | net=0.08 m | straightness=0.97 | direction=0.00 | state=STATIONARY | detections=44
[INFO] [1790301498.048565506] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(3.15, 3.65, 0.00) | smoothed=(3.14, 3.66, 0.00) | velocity=(0.06, -0.05, 0.00) m/s | speed=0.08 m/s | net=0.08 m | straightness=0.98 | direction=0.00 | state=STATIONARY | detections=45
[INFO] [1790301498.149000208] [sage_semantic_world_model]: Target 1 updated | association_distance=0.07 m | raw=(3.14, 3.59, 0.00) | smoothed=(3.14, 3.65, 0.00) | velocity=(0.04, -0.09, 0.00) m/s | speed=0.09 m/s | net=0.08 m | straightness=0.91 | direction=0.00 | state=STATIONARY | detections=46
[INFO] [1790301498.244390956] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(3.14, 3.59, 0.00) | smoothed=(3.14, 3.63, 0.00) | velocity=(0.02, -0.11, 0.00) m/s | speed=0.12 m/s | net=0.08 m | straightness=0.89 | direction=0.00 | state=STATIONARY | detections=47
[INFO] [1790301498.353658068] [sage_semantic_world_model]: Target 1 updated | association_distance=0.14 m | raw=(3.08, 3.51, 0.00) | smoothed=(3.12, 3.60, 0.00) | velocity=(-0.03, -0.17, 0.00) m/s | speed=0.17 m/s | net=0.10 m | straightness=0.82 | direction=0.00 | state=STATIONARY | detections=48
[INFO] [1790301498.447302810] [sage_semantic_world_model]: Target 1 updated | association_distance=0.10 m | raw=(3.08, 3.51, 0.00) | smoothed=(3.11, 3.58, 0.00) | velocity=(-0.06, -0.21, 0.00) m/s | speed=0.22 m/s | net=0.11 m | straightness=0.82 | direction=0.00 | state=STATIONARY | detections=49
