t,viewpoint,conf,bbox_frac,px,py,img_x,img_y
1790177587.8308623,1,0.745,0.0181,908.2,724.3,0.71,0.755
1790177588.8501132,1,0.686,0.0176,914.8,724.8,0.715,0.755
1790177590.207779,1,0.684,0.0283,466.3,633.3,0.364,0.66
1790177591.3140247,1,0.8,0.0269,265.7,547.0,0.208,0.57
1790177592.5441678,1,0.693,0.0108,635.6,576.6,0.497,0.601
1790177593.5458689,1,0.582,0.0111,643.8,604.6,0.503,0.63
1790177594.5742254,1,0.634,0.0123,683.6,625.9,0.534,0.652
1790177596.1382735,1,0.375,0.0141,693.9,667.4,0.542,0.695
1790177597.1584587,2,0.694,0.0135,670.8,655.8,0.524,0.683
1790177598.3714056,2,0.73,0.0359,168.6,424.1,0.132,0.442
1790177599.5935566,2,0.848,0.0807,157.3,774.1,0.123,0.806
1790177600.7769248,2,0.798,0.0315,628.9,684.6,0.491,0.713
1790177601.9038975,2,0.518,0.0247,650.8,719.5,0.508,0.749
1790177603.1793983,2,0.79,0.0224,669.6,750.8,0.523,0.782
1790177604.3325617,3,0.77,0.0214,644.9,756.0,0.504,0.787
1790177605.483653,3,0.533,0.0265,415.2,421.3,0.324,0.439
1790177606.5850568,3,0.331,0.0216,384.8,901.5,0.301,0.939
1790177607.6547039,3,0.6,0.0404,1218.9,712.2,0.952,0.742
1790177612.0898428,4,0.553,0.0388,696.5,750.9,0.544,0.782
1790177613.1427228,4,0.774,0.0141,427.2,642.5,0.334,0.669
1790177614.3052158,1,0.694,0.0076,785.8,551.0,0.614,0.574
1790177616.8744133,2,0.524,0.0159,41.2,768.2,0.032,0.8
1790177617.9406683,2,0.747,0.0184,322.0,674.7,0.252,0.703
1790177622.8351576,3,0.894,0.1414,1043.0,776.2,0.815,0.808
1790177624.4426372,3,0.871,0.053,1185.6,685.3,0.926,0.714
1790177625.4638543,3,0.851,0.0474,1071.6,691.7,0.837,0.721
1790177626.6736495,3,0.852,0.0379,1084.8,739.9,0.847,0.771
1790177627.6851628,3,0.877,0.0454,1104.4,770.3,0.863,0.802
1790177628.818887,3,0.834,0.0453,1144.2,792.6,0.894,0.826
1790177629.8439534,3,0.813,0.0507,1183.2,791.4,0.924,0.824
1790177630.990605,3,0.877,0.0464,1194.8,790.7,0.933,0.824
1790177632.1051059,3,0.867,0.0455,1201.5,779.4,0.939,0.812
1790177633.2552395,3,0.861,0.0453,1208.1,758.1,0.944,0.79
1790177634.4236126,3,0.825,0.0426,1211.4,742.8,0.946,0.774
1790177635.4601052,3,0.828,0.0405,1212.7,741.8,0.947,0.773
1790177636.4894435,3,0.762,0.0318,1227.8,748.9,0.959,0.78
1790177637.5259712,3,0.623,0.0311,1228.8,763.4,0.96,0.795
1790177638.685084,4,0.727,0.0315,1226.9,774.8,0.959,0.807
1790177639.9001026,4,0.805,0.0294,644.5,683.9,0.504,0.712
1790177641.2232988,4,0.519,0.0093,560.8,568.7,0.438,0.592
