trial,date,world,status,found,tp,fp,fn,mean_err_m,max_err_m,duration_s,rejected_candidates
0924_074319,2026-09-24,sage_hard,area_covered,7,5,2,0,0.53,1.30,630,4
0924_080023,2026-09-24,sage_hard,area_covered,6,4,2,1,0.84,1.39,612,6
0924_213855,2026-09-24,sage_hard,no_report,0,0,0,5,,,,8
0924_215730,2026-09-24,sage_hard,stack_failed,,,,,,,,
0924_220557,2026-09-24,sage_hard,area_covered,6,5,1,0,0.39,0.80,556,5
0925_003644,2026-09-25,sage_hard,area_covered,6,5,1,0,0.51,1.27,714,7
0925_005144,2026-09-25,sage_hard,no_report,0,0,0,5,,,,10
0925_011600_skipped,2026-09-25,sage_hard,skipped_flyaway,,,,,,,,
0925_012934,2026-09-25,sage_hard,no_report,0,0,0,5,,,,8
0925_014632,2026-09-25,sage_hard,no_report,0,0,0,5,,,,14
0925_020852,2026-09-25,sage_hard,area_covered,6,5,1,0,0.38,1.08,859,10
0925_022758,2026-09-25,sage_hard,area_covered,5,5,0,0,0.43,1.00,895,13
0925_024917,2026-09-25,sage_hard,skipped_flyaway_stranded,,,,,,,,
0925_030627,2026-09-25,sage_hard,timeout,5,5,0,0,0.62,1.12,900,14
0925_032505,2026-09-25,sage_hard,area_covered,6,5,1,0,0.27,0.57,707,7
0925_040416,2026-09-25,sage_hard,area_covered,5,4,1,1,0.45,0.60,875,9
